"","names","years","G","AB","R","H","X2B","HR","RBI","BB","BA","PA","TB","SlugPct","OBP","OPS","m1","m2","m3","m4"
"349","Steve Brodie","12","1438","5703","886","1728","191","25","900","420","0.303","6342","2172","0.381","0.365","0.746","0.470992943278172","0.408602172580252","0.463223254625837","0.408439838278935"
"459","Cupid Childs","13","1457","5622","1214","1721","205","20","743","991","0.306","6766","2188","0.389","0.416","0.805","0.64676317957572","0.690989964694308","0.643708770341665","0.691190535807731"
"510","Doc Cramer","20","2239","9140","1357","2705","396","37","842","572","0.296","9933","3430","0.375","0.34","0.715","0.543162323640281","0.489039551159052","0.551687077681413","0.489467084676783"
"521","Lave Cross","21","2277","9084","1338","2651","411","47","1378","466","0.292","9741","3475","0.383","0.329","0.712","0.775434186843485","0.738861074104707","0.784120244456836","0.739332418311063"
"537","Bill Dahlen","21","2444","9036","1590","2461","413","84","1234","1064","0.272","10405","3452","0.382","0.358","0.74","0.51558930082992","0.514928284890272","0.520158926894595","0.515334721181482"
"546","Jake Daubert","15","2014","7673","1117","2326","250","56","722","623","0.303","8742","3074","0.401","0.36","0.761","0.411934466502532","0.534973452351796","0.41332453933247","0.535010017638262"
"600","Patsy Donovan","17","1824","7505","1321","2256","208","16","738","457","0.301","8172","2662","0.355","0.348","0.703","0.766532439669629","0.723794942312028","0.771591713537937","0.724121562704646"
"610","Jack Doyle","17","1569","6055","977","1811","316","25","971","440","0.299","6589","2330","0.385","0.351","0.736","0.38996562251966","0.354486941775869","0.382646438944285","0.354216800885543"
"759","Larry Gardner","17","1923","6688","867","1931","301","27","934","654","0.289","7685","2571","0.384","0.355","0.739","0.33269304081682","0.485285828274161","0.322890654709221","0.484797210911225"
"1013","Shoeless Joe Jackson","13","1332","4981","873","1772","307","54","785","519","0.356","5690","2577","0.517","0.423","0.94","0.733450728203618","0.874265474100398","0.736233819257852","0.874296643869965"
"1068","Joe Judge","20","2171","7898","1184","2352","433","71","1034","965","0.298","9171","3316","0.42","0.378","0.798","0.514394843131155","0.593065323232337","0.516586157941791","0.593302058764206"
"1310","Stuffy McInnis","19","2128","7822","872","2405","312","20","1063","380","0.307","8623","2979","0.381","0.343","0.724","0.794947163379548","0.810744124500041","0.798191930285825","0.810940989611551"
"1312","Ed McKean","13","1655","6894","1227","2084","272","67","1124","636","0.302","7626","2873","0.417","0.365","0.782","0.577319171434805","0.591307770123892","0.581377163543798","0.5916362142348"
"1425","Buddy Myer","17","1923","7038","1174","2131","353","38","850","965","0.303","8187","2858","0.406","0.389","0.795","0.499576434849619","0.564698738081366","0.499368488780446","0.564906840305496"
"1689","Jimmy Ryan","18","2014","8172","1643","2513","451","118","1093","804","0.308","9124","3632","0.444","0.375","0.819","0.646531407234537","0.661208744357763","0.659269650496238","0.661829660341362"
"1875","Fred Tenney","17","1994","7595","1278","2231","270","22","688","874","0.294","8809","2721","0.358","0.371","0.729","0.496375931630555","0.579185606637463","0.496738551126454","0.579321033373001"
"1894","Mike Tiernan","13","1478","5915","1316","1838","257","106","853","748","0.311","6732","2737","0.463","0.392","0.855","0.431749611254884","0.466863416820578","0.431324428867585","0.46690038258623"
"1936","George Van Haltren","17","1990","8043","1642","2544","286","69","1015","871","0.316","9017","3359","0.418","0.386","0.804","0.882934238021019","0.901539737096851","0.891004081151979","0.901940656817862"
"1942","Bobby Veach","14","1821","6656","953","2063","393","64","1166","571","0.31","7557","2942","0.442","0.37","0.812","0.442553932486156","0.560759695974903","0.441905148071572","0.560694677041892"
"1","HOF Average","18.0063694267516","2161.28662420382","8007.65605095541","1338.36942675159","2419.28025477707","416.859872611465","224.101910828025","1231.64968152866","913.146496815287","0.302292993630573","9109.53503184713","3719.9872611465","0.464114649681529","0.375974522292994","0.840089171974522","0.516974021766447","0.514887852484819","0.519773636805778","0.515027152536856"
